Year	Week	Y30-34,T,NR,PL

2000	1	54.0
2000	2	56.0
2000	3	48.0
2000	4	48.0
2000	5	65.0
2000	6	48.0
2000	7	60.0
2000	8	42.0
2000	9	56.0
2000	10	55.0
2000	11	63.0
2000	12	54.0
2000	13	57.0
2000	14	47.0
2000	15	58.0
2000	16	71.0
2000	17	47.0
2000	18	57.0
2000	19	61.0
2000	20	56.0
2000	21	53.0
2000	22	60.0
2000	23	75.0
2000	24	51.0
2000	25	59.0
2000	26	54.0
2000	27	51.0
2000	28	56.0
2000	29	61.0
2000	30	60.0
2000	31	54.0
2000	32	47.0
2000	33	69.0
2000	34	67.0
2000	35	52.0
2000	36	66.0
2000	37	54.0
2000	38	46.0
2000	39	54.0
2000	40	56.0
2000	41	56.0
2000	42	43.0
2000	43	54.0
2000	44	33.0
2000	45	41.0
2000	46	64.0
2000	47	72.0
2000	48	63.0
2000	49	56.0
2000	50	55.0
2000	51	59.0
2000	52	63.0
2000	53	NaN

2001	1	60.0
2001	2	50.0
2001	3	43.0
2001	4	40.0
2001	5	39.0
2001	6	45.0
2001	7	49.0
2001	8	66.0
2001	9	48.0
2001	10	60.0
2001	11	56.0
2001	12	67.0
2001	13	49.0
2001	14	48.0
2001	15	53.0
2001	16	46.0
2001	17	52.0
2001	18	65.0
2001	19	41.0
2001	20	54.0
2001	21	43.0
2001	22	44.0
2001	23	43.0
2001	24	54.0
2001	25	46.0
2001	26	52.0
2001	27	72.0
2001	28	52.0
2001	29	52.0
2001	30	70.0
2001	31	52.0
2001	32	54.0
2001	33	62.0
2001	34	67.0
2001	35	52.0
2001	36	43.0
2001	37	43.0
2001	38	43.0
2001	39	43.0
2001	40	62.0
2001	41	59.0
2001	42	52.0
2001	43	66.0
2001	44	60.0
2001	45	62.0
2001	46	68.0
2001	47	53.0
2001	48	59.0
2001	49	53.0
2001	50	51.0
2001	51	56.0
2001	52	46.0
2001	53	NaN

2002	1	51.0
2002	2	45.0
2002	3	47.0
2002	4	54.0
2002	5	42.0
2002	6	75.0
2002	7	48.0
2002	8	52.0
2002	9	57.0
2002	10	53.0
2002	11	53.0
2002	12	44.0
2002	13	52.0
2002	14	51.0
2002	15	52.0
2002	16	49.0
2002	17	56.0
2002	18	61.0
2002	19	40.0
2002	20	69.0
2002	21	50.0
2002	22	58.0
2002	23	43.0
2002	24	59.0
2002	25	65.0
2002	26	51.0
2002	27	56.0
2002	28	60.0
2002	29	50.0
2002	30	56.0
2002	31	66.0
2002	32	46.0
2002	33	60.0
2002	34	55.0
2002	35	57.0
2002	36	52.0
2002	37	61.0
2002	38	53.0
2002	39	57.0
2002	40	50.0
2002	41	62.0
2002	42	48.0
2002	43	67.0
2002	44	46.0
2002	45	49.0
2002	46	54.0
2002	47	61.0
2002	48	61.0
2002	49	63.0
2002	50	51.0
2002	51	63.0
2002	52	65.0
2002	53	NaN

2003	1	45.0
2003	2	40.0
2003	3	43.0
2003	4	58.0
2003	5	54.0
2003	6	49.0
2003	7	51.0
2003	8	46.0
2003	9	50.0
2003	10	55.0
2003	11	45.0
2003	12	56.0
2003	13	46.0
2003	14	47.0
2003	15	41.0
2003	16	58.0
2003	17	50.0
2003	18	43.0
2003	19	50.0
2003	20	49.0
2003	21	43.0
2003	22	53.0
2003	23	60.0
2003	24	65.0
2003	25	37.0
2003	26	52.0
2003	27	53.0
2003	28	63.0
2003	29	65.0
2003	30	74.0
2003	31	67.0
2003	32	58.0
2003	33	69.0
2003	34	73.0
2003	35	42.0
2003	36	47.0
2003	37	62.0
2003	38	61.0
2003	39	58.0
2003	40	46.0
2003	41	54.0
2003	42	49.0
2003	43	41.0
2003	44	44.0
2003	45	61.0
2003	46	55.0
2003	47	53.0
2003	48	54.0
2003	49	53.0
2003	50	65.0
2003	51	46.0
2003	52	51.0
2003	53	NaN

2004	1	61.0
2004	2	43.0
2004	3	48.0
2004	4	42.0
2004	5	46.0
2004	6	61.0
2004	7	63.0
2004	8	46.0
2004	9	55.0
2004	10	47.0
2004	11	45.0
2004	12	45.0
2004	13	38.0
2004	14	62.0
2004	15	55.0
2004	16	52.0
2004	17	55.0
2004	18	57.0
2004	19	44.0
2004	20	49.0
2004	21	63.0
2004	22	51.0
2004	23	56.0
2004	24	55.0
2004	25	63.0
2004	26	53.0
2004	27	40.0
2004	28	66.0
2004	29	55.0
2004	30	60.0
2004	31	50.0
2004	32	72.0
2004	33	61.0
2004	34	72.0
2004	35	48.0
2004	36	70.0
2004	37	58.0
2004	38	54.0
2004	39	59.0
2004	40	55.0
2004	41	47.0
2004	42	59.0
2004	43	57.0
2004	44	54.0
2004	45	54.0
2004	46	53.0
2004	47	73.0
2004	48	49.0
2004	49	56.0
2004	50	58.0
2004	51	52.0
2004	52	56.0
2004	53	71.0

2005	1	56.0
2005	2	55.0
2005	3	63.0
2005	4	53.0
2005	5	49.0
2005	6	56.0
2005	7	51.0
2005	8	50.0
2005	9	60.0
2005	10	47.0
2005	11	48.0
2005	12	44.0
2005	13	62.0
2005	14	53.0
2005	15	65.0
2005	16	51.0
2005	17	56.0
2005	18	68.0
2005	19	54.0
2005	20	59.0
2005	21	54.0
2005	22	54.0
2005	23	64.0
2005	24	56.0
2005	25	76.0
2005	26	55.0
2005	27	57.0
2005	28	59.0
2005	29	45.0
2005	30	57.0
2005	31	53.0
2005	32	66.0
2005	33	68.0
2005	34	49.0
2005	35	65.0
2005	36	62.0
2005	37	65.0
2005	38	56.0
2005	39	74.0
2005	40	46.0
2005	41	50.0
2005	42	49.0
2005	43	39.0
2005	44	56.0
2005	45	47.0
2005	46	58.0
2005	47	59.0
2005	48	57.0
2005	49	41.0
2005	50	54.0
2005	51	66.0
2005	52	70.0
2005	53	NaN

2006	1	59.0
2006	2	46.0
2006	3	48.0
2006	4	51.0
2006	5	52.0
2006	6	56.0
2006	7	45.0
2006	8	46.0
2006	9	31.0
2006	10	56.0
2006	11	49.0
2006	12	54.0
2006	13	45.0
2006	14	63.0
2006	15	49.0
2006	16	61.0
2006	17	55.0
2006	18	53.0
2006	19	53.0
2006	20	54.0
2006	21	53.0
2006	22	54.0
2006	23	58.0
2006	24	66.0
2006	25	62.0
2006	26	47.0
2006	27	55.0
2006	28	74.0
2006	29	68.0
2006	30	70.0
2006	31	50.0
2006	32	41.0
2006	33	48.0
2006	34	70.0
2006	35	58.0
2006	36	57.0
2006	37	52.0
2006	38	65.0
2006	39	71.0
2006	40	57.0
