Year	Week	Y45-49,T,NR,PL

2000	1	327.0
2000	2	327.0
2000	3	354.0
2000	4	331.0
2000	5	352.0
2000	6	316.0
2000	7	279.0
2000	8	311.0
2000	9	354.0
2000	10	279.0
2000	11	306.0
2000	12	317.0
2000	13	279.0
2000	14	325.0
2000	15	319.0
2000	16	320.0
2000	17	323.0
2000	18	289.0
2000	19	294.0
2000	20	303.0
2000	21	277.0
2000	22	282.0
2000	23	307.0
2000	24	303.0
2000	25	295.0
2000	26	273.0
2000	27	276.0
2000	28	350.0
2000	29	294.0
2000	30	282.0
2000	31	321.0
2000	32	280.0
2000	33	329.0
2000	34	293.0
2000	35	305.0
2000	36	320.0
2000	37	265.0
2000	38	322.0
2000	39	352.0
2000	40	299.0
2000	41	270.0
2000	42	294.0
2000	43	320.0
2000	44	307.0
2000	45	291.0
2000	46	301.0
2000	47	304.0
2000	48	286.0
2000	49	311.0
2000	50	318.0
2000	51	333.0
2000	52	359.0
2000	53	NaN

2001	1	297.0
2001	2	299.0
2001	3	307.0
2001	4	336.0
2001	5	307.0
2001	6	323.0
2001	7	296.0
2001	8	282.0
2001	9	322.0
2001	10	288.0
2001	11	307.0
2001	12	296.0
2001	13	297.0
2001	14	326.0
2001	15	274.0
2001	16	325.0
2001	17	303.0
2001	18	288.0
2001	19	313.0
2001	20	318.0
2001	21	284.0
2001	22	261.0
2001	23	273.0
2001	24	314.0
2001	25	284.0
2001	26	297.0
2001	27	304.0
2001	28	299.0
2001	29	298.0
2001	30	294.0
2001	31	312.0
2001	32	284.0
2001	33	322.0
2001	34	300.0
2001	35	279.0
2001	36	278.0
2001	37	339.0
2001	38	312.0
2001	39	265.0
2001	40	286.0
2001	41	283.0
2001	42	303.0
2001	43	314.0
2001	44	321.0
2001	45	304.0
2001	46	323.0
2001	47	320.0
2001	48	275.0
2001	49	335.0
2001	50	323.0
2001	51	333.0
2001	52	322.0
2001	53	NaN

2002	1	290.0
2002	2	253.0
2002	3	316.0
2002	4	288.0
2002	5	283.0
2002	6	293.0
2002	7	263.0
2002	8	300.0
2002	9	299.0
2002	10	302.0
2002	11	271.0
2002	12	273.0
2002	13	308.0
2002	14	308.0
2002	15	272.0
2002	16	295.0
2002	17	313.0
2002	18	287.0
2002	19	312.0
2002	20	238.0
2002	21	301.0
2002	22	266.0
2002	23	263.0
2002	24	288.0
2002	25	309.0
2002	26	243.0
2002	27	267.0
2002	28	298.0
2002	29	259.0
2002	30	280.0
2002	31	303.0
2002	32	259.0
2002	33	292.0
2002	34	281.0
2002	35	244.0
2002	36	244.0
2002	37	289.0
2002	38	274.0
2002	39	296.0
2002	40	286.0
2002	41	315.0
2002	42	343.0
2002	43	328.0
2002	44	268.0
2002	45	307.0
2002	46	300.0
2002	47	311.0
2002	48	281.0
2002	49	288.0
2002	50	336.0
2002	51	314.0
2002	52	355.0
2002	53	NaN

2003	1	326.0
2003	2	293.0
2003	3	287.0
2003	4	284.0
2003	5	246.0
2003	6	289.0
2003	7	272.0
2003	8	291.0
2003	9	306.0
2003	10	308.0
2003	11	328.0
2003	12	301.0
2003	13	311.0
2003	14	308.0
2003	15	287.0
2003	16	264.0
2003	17	290.0
2003	18	284.0
2003	19	246.0
2003	20	268.0
2003	21	257.0
2003	22	273.0
2003	23	258.0
2003	24	264.0
2003	25	256.0
2003	26	262.0
2003	27	285.0
2003	28	245.0
2003	29	258.0
2003	30	298.0
2003	31	303.0
2003	32	302.0
2003	33	311.0
2003	34	277.0
2003	35	247.0
2003	36	250.0
2003	37	288.0
2003	38	268.0
2003	39	287.0
2003	40	316.0
2003	41	285.0
2003	42	316.0
2003	43	266.0
