Year	Week	Y80-84,T,NR,PL

2000	1	880.0
2000	2	916.0
2000	3	984.0
2000	4	1098.0
2000	5	1152.0
2000	6	970.0
2000	7	857.0
2000	8	789.0
2000	9	833.0
2000	10	784.0
2000	11	701.0
2000	12	730.0
2000	13	744.0
2000	14	701.0
2000	15	731.0
2000	16	750.0
2000	17	641.0
2000	18	669.0
2000	19	669.0
2000	20	710.0
2000	21	629.0
2000	22	645.0
2000	23	709.0
2000	24	674.0
2000	25	672.0
2000	26	655.0
2000	27	657.0
2000	28	654.0
2000	29	634.0
2000	30	672.0
2000	31	672.0
2000	32	703.0
2000	33	680.0
2000	34	602.0
2000	35	643.0
2000	36	679.0
2000	37	644.0
2000	38	680.0
2000	39	783.0
2000	40	723.0
2000	41	732.0
2000	42	691.0
2000	43	752.0
2000	44	764.0
2000	45	708.0
2000	46	764.0
2000	47	782.0
2000	48	756.0
2000	49	758.0
2000	50	817.0
2000	51	809.0
2000	52	884.0
2000	53	NaN

2001	1	890.0
2001	2	859.0
2001	3	838.0
2001	4	857.0
2001	5	876.0
2001	6	846.0
2001	7	807.0
2001	8	740.0
2001	9	837.0
2001	10	820.0
2001	11	750.0
2001	12	744.0
2001	13	768.0
2001	14	822.0
2001	15	755.0
2001	16	770.0
2001	17	773.0
2001	18	827.0
2001	19	774.0
2001	20	810.0
2001	21	741.0
2001	22	717.0
2001	23	687.0
2001	24	750.0
2001	25	743.0
2001	26	794.0
2001	27	740.0
2001	28	772.0
2001	29	719.0
2001	30	727.0
2001	31	744.0
2001	32	674.0
2001	33	734.0
2001	34	733.0
2001	35	692.0
2001	36	637.0
2001	37	757.0
2001	38	798.0
2001	39	782.0
2001	40	781.0
2001	41	805.0
2001	42	733.0
2001	43	769.0
2001	44	817.0
2001	45	781.0
2001	46	827.0
2001	47	863.0
2001	48	896.0
2001	49	798.0
2001	50	888.0
2001	51	988.0
2001	52	931.0
2001	53	NaN

2002	1	841.0
2002	2	880.0
2002	3	875.0
2002	4	899.0
2002	5	777.0
2002	6	825.0
2002	7	828.0
2002	8	785.0
2002	9	843.0
2002	10	825.0
2002	11	884.0
2002	12	879.0
2002	13	898.0
2002	14	904.0
2002	15	912.0
2002	16	905.0
2002	17	856.0
2002	18	885.0
2002	19	819.0
2002	20	811.0
2002	21	870.0
2002	22	782.0
2002	23	752.0
2002	24	824.0
2002	25	867.0
2002	26	774.0
2002	27	798.0
2002	28	819.0
2002	29	820.0
2002	30	729.0
2002	31	808.0
2002	32	794.0
2002	33	785.0
2002	34	735.0
2002	35	764.0
2002	36	765.0
2002	37	769.0
2002	38	819.0
2002	39	864.0
2002	40	929.0
2002	41	877.0
2002	42	948.0
2002	43	903.0
2002	44	841.0
2002	45	878.0
2002	46	905.0
2002	47	913.0
2002	48	884.0
2002	49	935.0
2002	50	973.0
2002	51	1042.0
2002	52	1093.0
2002	53	NaN

2003	1	1074.0
2003	2	1092.0
2003	3	987.0
2003	4	1062.0
2003	5	1031.0
2003	6	1082.0
2003	7	1071.0
2003	8	1118.0
2003	9	1184.0
2003	10	1316.0
2003	11	1241.0
2003	12	1124.0
2003	13	1125.0
2003	14	1021.0
2003	15	944.0
2003	16	996.0
2003	17	954.0
2003	18	977.0
2003	19	929.0
2003	20	815.0
2003	21	911.0
2003	22	940.0
2003	23	935.0
2003	24	876.0
2003	25	845.0
2003	26	869.0
2003	27	878.0
2003	28	847.0
2003	29	874.0
2003	30	931.0
2003	31	835.0
2003	32	887.0
2003	33	848.0
2003	34	872.0
2003	35	823.0
2003	36	896.0
2003	37	870.0
2003	38	885.0
2003	39	921.0
2003	40	895.0
2003	41	934.0
2003	42	1061.0
2003	43	1003.0
2003	44	1070.0
2003	45	989.0
2003	46	979.0
2003	47	977.0
2003	48	1002.0
2003	49	989.0
2003	50	1008.0
2003	51	1013.0
2003	52	1048.0
2003	53	NaN

2004	1	1155.0
2004	2	1176.0
2004	3	1107.0
2004	4	1186.0
2004	5	1152.0
2004	6	1271.0
2004	7	1151.0
2004	8	1102.0
2004	9	1123.0
2004	10	1125.0
2004	11	1057.0
2004	12	1103.0
2004	13	959.0
2004	14	1028.0
2004	15	975.0
2004	16	1049.0
2004	17	1077.0
2004	18	990.0
2004	19	1074.0
2004	20	978.0
2004	21	961.0
2004	22	1063.0
2004	23	1029.0
2004	24	1017.0
2004	25	963.0
2004	26	967.0
2004	27	999.0
2004	28	963.0
2004	29	987.0
2004	30	1002.0
2004	31	896.0
2004	32	897.0
2004	33	1029.0
2004	34	972.0
2004	35	880.0
2004	36	897.0
2004	37	932.0
2004	38	995.0
2004	39	1011.0
2004	40	1045.0
2004	41	1051.0
2004	42	1083.0
2004	43	1036.0
2004	44	1021.0
2004	45	1025.0
2004	46	996.0
2004	47	1029.0
2004	48	1072.0
2004	49	1058.0
2004	50	1050.0
2004	51	1089.0
2004	52	1158.0
2004	53	1170.0

2005	1	1136.0
2005	2	1155.0
2005	3	1151.0
2005	4	1186.0
2005	5	1284.0
2005	6	1216.0
2005	7	1241.0
2005	8	1284.0
2005	9	1295.0
2005	10	1304.0
2005	11	1326.0
2005	12	1262.0
2005	13	1238.0
2005	14	1202.0
