Year	Week	Y25-29,T,NR,PL

2000	1	47.0
2000	2	56.0
2000	3	35.0
2000	4	39.0
2000	5	40.0
2000	6	46.0
2000	7	42.0
2000	8	45.0
2000	9	60.0
2000	10	39.0
2000	11	41.0
2000	12	39.0
2000	13	46.0
2000	14	50.0
2000	15	56.0
2000	16	45.0
2000	17	49.0
2000	18	33.0
2000	19	48.0
2000	20	43.0
2000	21	40.0
2000	22	59.0
2000	23	42.0
2000	24	44.0
2000	25	57.0
2000	26	53.0
2000	27	41.0
2000	28	42.0
2000	29	41.0
2000	30	50.0
2000	31	42.0
2000	32	39.0
2000	33	56.0
2000	34	51.0
2000	35	51.0
2000	36	45.0
2000	37	38.0
2000	38	55.0
2000	39	51.0
2000	40	47.0
2000	41	44.0
2000	42	42.0
2000	43	68.0
2000	44	32.0
2000	45	46.0
2000	46	40.0
2000	47	51.0
2000	48	45.0
2000	49	36.0
2000	50	53.0
2000	51	48.0
2000	52	49.0
2000	53	NaN

2001	1	43.0
2001	2	36.0
2001	3	43.0
2001	4	33.0
2001	5	42.0
2001	6	49.0
2001	7	41.0
2001	8	29.0
2001	9	41.0
2001	10	38.0
2001	11	52.0
2001	12	40.0
2001	13	45.0
2001	14	51.0
2001	15	36.0
2001	16	50.0
2001	17	48.0
2001	18	40.0
2001	19	49.0
2001	20	46.0
2001	21	42.0
2001	22	55.0
2001	23	44.0
2001	24	46.0
2001	25	57.0
2001	26	56.0
2001	27	50.0
2001	28	57.0
2001	29	59.0
2001	30	50.0
2001	31	49.0
2001	32	62.0
2001	33	51.0
2001	34	62.0
2001	35	39.0
2001	36	46.0
2001	37	48.0
2001	38	52.0
2001	39	54.0
2001	40	33.0
2001	41	48.0
2001	42	37.0
2001	43	40.0
2001	44	48.0
2001	45	44.0
2001	46	38.0
2001	47	50.0
2001	48	40.0
2001	49	26.0
2001	50	44.0
2001	51	49.0
2001	52	47.0
2001	53	NaN

2002	1	46.0
2002	2	32.0
2002	3	39.0
2002	4	33.0
2002	5	39.0
2002	6	53.0
2002	7	61.0
2002	8	45.0
2002	9	36.0
2002	10	33.0
2002	11	55.0
2002	12	30.0
2002	13	41.0
2002	14	43.0
2002	15	52.0
2002	16	43.0
2002	17	47.0
2002	18	54.0
2002	19	45.0
2002	20	51.0
2002	21	57.0
2002	22	58.0
2002	23	41.0
2002	24	51.0
2002	25	56.0
2002	26	57.0
2002	27	41.0
2002	28	63.0
2002	29	58.0
2002	30	43.0
2002	31	62.0
2002	32	50.0
2002	33	58.0
2002	34	46.0
2002	35	43.0
2002	36	29.0
2002	37	47.0
2002	38	44.0
2002	39	49.0
2002	40	47.0
2002	41	46.0
2002	42	47.0
2002	43	42.0
2002	44	43.0
2002	45	47.0
2002	46	46.0
2002	47	43.0
2002	48	40.0
2002	49	33.0
2002	50	43.0
2002	51	41.0
2002	52	42.0
2002	53	NaN

2003	1	41.0
2003	2	36.0
2003	3	43.0
2003	4	42.0
2003	5	38.0
2003	6	36.0
