Year	Week	Y65-69,T,NR,PL

2000	1	867.0
2000	2	897.0
2000	3	1024.0
2000	4	1033.0
2000	5	1038.0
2000	6	888.0
2000	7	848.0
2000	8	802.0
2000	9	784.0
2000	10	830.0
2000	11	817.0
2000	12	821.0
2000	13	777.0
2000	14	747.0
2000	15	753.0
2000	16	781.0
2000	17	729.0
2000	18	778.0
2000	19	735.0
2000	20	783.0
2000	21	744.0
2000	22	758.0
2000	23	781.0
2000	24	716.0
2000	25	698.0
2000	26	691.0
2000	27	707.0
2000	28	753.0
2000	29	741.0
2000	30	730.0
2000	31	745.0
2000	32	702.0
2000	33	785.0
2000	34	703.0
2000	35	744.0
2000	36	723.0
2000	37	719.0
2000	38	759.0
2000	39	790.0
2000	40	779.0
2000	41	756.0
2000	42	787.0
2000	43	728.0
2000	44	795.0
2000	45	782.0
2000	46	768.0
2000	47	761.0
2000	48	772.0
2000	49	794.0
2000	50	788.0
2000	51	850.0
2000	52	839.0
2000	53	NaN

2001	1	809.0
2001	2	764.0
2001	3	800.0
2001	4	796.0
2001	5	856.0
2001	6	794.0
2001	7	758.0
2001	8	766.0
2001	9	802.0
2001	10	788.0
2001	11	778.0
2001	12	761.0
2001	13	777.0
2001	14	726.0
2001	15	734.0
2001	16	750.0
2001	17	708.0
2001	18	751.0
2001	19	705.0
2001	20	779.0
2001	21	727.0
2001	22	719.0
2001	23	750.0
2001	24	776.0
2001	25	696.0
2001	26	735.0
2001	27	746.0
2001	28	735.0
2001	29	760.0
2001	30	720.0
2001	31	712.0
2001	32	729.0
2001	33	713.0
2001	34	623.0
2001	35	645.0
2001	36	714.0
2001	37	670.0
2001	38	737.0
2001	39	721.0
2001	40	725.0
2001	41	725.0
2001	42	745.0
2001	43	735.0
2001	44	741.0
2001	45	720.0
2001	46	803.0
2001	47	752.0
2001	48	769.0
2001	49	756.0
2001	50	726.0
2001	51	773.0
2001	52	847.0
2001	53	NaN

2002	1	701.0
2002	2	746.0
2002	3	778.0
2002	4	738.0
2002	5	715.0
2002	6	716.0
2002	7	672.0
2002	8	736.0
2002	9	731.0
2002	10	730.0
2002	11	723.0
2002	12	806.0
2002	13	745.0
2002	14	762.0
2002	15	719.0
2002	16	722.0
2002	17	720.0
2002	18	741.0
2002	19	703.0
2002	20	666.0
2002	21	704.0
2002	22	727.0
2002	23	678.0
