Year	Week	Y20-24,T,NR,PL

2000	1	46.0
2000	2	35.0
2000	3	39.0
2000	4	39.0
2000	5	49.0
2000	6	36.0
2000	7	49.0
2000	8	49.0
2000	9	36.0
2000	10	49.0
2000	11	31.0
2000	12	32.0
2000	13	56.0
2000	14	52.0
2000	15	44.0
2000	16	41.0
2000	17	53.0
2000	18	37.0
2000	19	50.0
2000	20	44.0
2000	21	47.0
2000	22	54.0
2000	23	58.0
2000	24	47.0
2000	25	66.0
2000	26	47.0
2000	27	50.0
2000	28	48.0
2000	29	38.0
2000	30	41.0
2000	31	55.0
2000	32	42.0
2000	33	44.0
2000	34	56.0
2000	35	49.0
2000	36	49.0
2000	37	51.0
2000	38	39.0
2000	39	46.0
2000	40	57.0
2000	41	55.0
2000	42	38.0
2000	43	51.0
2000	44	52.0
2000	45	52.0
2000	46	48.0
2000	47	44.0
2000	48	50.0
2000	49	31.0
2000	50	39.0
2000	51	47.0
2000	52	54.0
2000	53	NaN

2001	1	54.0
2001	2	38.0
2001	3	33.0
2001	4	39.0
2001	5	36.0
2001	6	41.0
2001	7	31.0
2001	8	32.0
2001	9	43.0
2001	10	57.0
2001	11	25.0
2001	12	41.0
2001	13	49.0
2001	14	40.0
2001	15	31.0
2001	16	43.0
2001	17	38.0
2001	18	47.0
2001	19	44.0
2001	20	53.0
2001	21	59.0
2001	22	40.0
2001	23	45.0
2001	24	48.0
2001	25	45.0
2001	26	39.0
2001	27	58.0
2001	28	59.0
2001	29	45.0
2001	30	62.0
2001	31	43.0
2001	32	48.0
2001	33	49.0
2001	34	54.0
2001	35	39.0
2001	36	37.0
2001	37	51.0
2001	38	44.0
2001	39	38.0
2001	40	52.0
2001	41	40.0
2001	42	38.0
2001	43	46.0
2001	44	50.0
2001	45	47.0
2001	46	45.0
2001	47	45.0
2001	48	37.0
2001	49	45.0
2001	50	41.0
2001	51	47.0
2001	52	44.0
2001	53	NaN

2002	1	30.0
2002	2	40.0
2002	3	39.0
2002	4	38.0
2002	5	44.0
2002	6	48.0
2002	7	43.0
2002	8	36.0
2002	9	35.0
2002	10	32.0
2002	11	52.0
2002	12	29.0
2002	13	38.0
2002	14	47.0
2002	15	48.0
2002	16	57.0
2002	17	55.0
2002	18	41.0
2002	19	53.0
2002	20	33.0
2002	21	51.0
2002	22	41.0
2002	23	38.0
2002	24	49.0
2002	25	61.0
2002	26	59.0
2002	27	52.0
2002	28	60.0
2002	29	48.0
2002	30	47.0
2002	31	57.0
2002	32	64.0
2002	33	61.0
2002	34	55.0
2002	35	54.0
2002	36	43.0
2002	37	35.0
2002	38	46.0
2002	39	41.0
2002	40	55.0
2002	41	39.0
2002	42	43.0
2002	43	41.0
2002	44	32.0
2002	45	39.0
2002	46	43.0
2002	47	58.0
2002	48	41.0
2002	49	35.0
2002	50	39.0
2002	51	33.0
2002	52	45.0
2002	53	NaN

2003	1	51.0
2003	2	27.0
2003	3	47.0
2003	4	47.0
2003	5	30.0
2003	6	38.0
2003	7	30.0
2003	8	38.0
2003	9	37.0
2003	10	46.0
2003	11	41.0
2003	12	45.0
2003	13	35.0
2003	14	37.0
2003	15	35.0
2003	16	36.0
2003	17	43.0
2003	18	45.0
2003	19	44.0
2003	20	47.0
2003	21	42.0
2003	22	42.0
2003	23	59.0
2003	24	41.0
2003	25	50.0
2003	26	37.0
2003	27	56.0
2003	28	45.0
2003	29	41.0
2003	30	63.0
2003	31	51.0
2003	32	55.0
2003	33	66.0
2003	34	49.0
2003	35	56.0
2003	36	43.0
2003	37	49.0
2003	38	52.0
2003	39	46.0
2003	40	51.0
2003	41	46.0
2003	42	41.0
2003	43	42.0
2003	44	37.0
2003	45	38.0
2003	46	32.0
2003	47	34.0
2003	48	55.0
2003	49	46.0
2003	50	54.0
2003	51	43.0
2003	52	27.0
2003	53	NaN

2004	1	46.0
2004	2	29.0
2004	3	42.0
2004	4	35.0
2004	5	35.0
2004	6	42.0
2004	7	44.0
2004	8	35.0
2004	9	31.0
2004	10	39.0
2004	11	39.0
2004	12	32.0
2004	13	35.0
