Age group,2019: Trend maximally exceeded by [%]
Y_LT5,56.16476743700457
Y5-9,165.9817973450188
Y10-14,123.88140428197063
Y15-19,53.33219775182134
Y20-24,36.84687300531021
Y25-29,47.561313578736204
Y30-34,36.621917542679796
Y35-39,39.42837814718576
Y40-44,17.9132453106086
Y45-49,10.277161921064064
Y50-54,11.945796865161242
Y55-59,8.925925684267858
Y60-64,13.867475548480856
Y65-69,10.053055027352336
Y70-74,12.195454258249109
Y75-79,8.858276220352861
Y80-84,10.605323675108687
Y85-89,9.586514880383998
Y_GE90,11.846048842323723
