Year	Week	Y75-79,T,NR,PL

2000	1	1149.0
2000	2	1288.0
2000	3	1395.0
2000	4	1434.0
2000	5	1537.0
2000	6	1382.0
2000	7	1226.0
2000	8	1180.0
2000	9	1164.0
2000	10	1162.0
2000	11	1089.0
2000	12	1110.0
2000	13	1039.0
2000	14	1019.0
2000	15	1046.0
2000	16	1039.0
2000	17	1019.0
2000	18	935.0
2000	19	982.0
2000	20	979.0
2000	21	1047.0
2000	22	971.0
2000	23	968.0
2000	24	954.0
2000	25	1017.0
2000	26	894.0
2000	27	976.0
2000	28	965.0
2000	29	919.0
2000	30	1016.0
2000	31	1015.0
2000	32	953.0
2000	33	1045.0
2000	34	926.0
2000	35	950.0
2000	36	908.0
2000	37	1014.0
2000	38	1049.0
2000	39	1131.0
2000	40	1098.0
2000	41	998.0
2000	42	988.0
2000	43	1131.0
2000	44	1094.0
2000	45	1057.0
2000	46	1060.0
2000	47	1150.0
2000	48	1095.0
2000	49	1132.0
2000	50	1135.0
2000	51	1160.0
2000	52	1290.0
2000	53	NaN

2001	1	1244.0
2001	2	1154.0
2001	3	1106.0
2001	4	1243.0
2001	5	1112.0
2001	6	1178.0
2001	7	1116.0
2001	8	1126.0
2001	9	1182.0
2001	10	1053.0
2001	11	1050.0
2001	12	1068.0
2001	13	1072.0
2001	14	1094.0
2001	15	1025.0
2001	16	1133.0
2001	17	1135.0
2001	18	1063.0
2001	19	1037.0
2001	20	1045.0
2001	21	1064.0
2001	22	1057.0
2001	23	997.0
2001	24	1019.0
2001	25	1006.0
2001	26	1065.0
2001	27	1047.0
2001	28	1049.0
2001	29	1043.0
2001	30	985.0
2001	31	1018.0
2001	32	959.0
2001	33	1059.0
2001	34	1005.0
2001	35	977.0
2001	36	952.0
2001	37	1050.0
2001	38	1097.0
2001	39	1124.0
2001	40	1151.0
2001	41	1083.0
2001	42	1085.0
2001	43	1164.0
2001	44	1095.0
2001	45	1096.0
2001	46	1145.0
2001	47	1165.0
2001	48	1115.0
2001	49	1057.0
2001	50	1189.0
2001	51	1269.0
2001	52	1342.0
2001	53	NaN

2002	1	1120.0
2002	2	1076.0
2002	3	1147.0
2002	4	1075.0
2002	5	1072.0
2002	6	1112.0
2002	7	1054.0
2002	8	1102.0
2002	9	1101.0
2002	10	1151.0
2002	11	1161.0
2002	12	1182.0
2002	13	1123.0
2002	14	1165.0
2002	15	1173.0
2002	16	1160.0
2002	17	1094.0
2002	18	1124.0
2002	19	1109.0
2002	20	1046.0
2002	21	1020.0
2002	22	989.0
2002	23	1032.0
2002	24	1039.0
2002	25	1070.0
2002	26	1061.0
2002	27	999.0
2002	28	1109.0
2002	29	1029.0
2002	30	995.0
2002	31	1041.0
2002	32	950.0
2002	33	988.0
2002	34	969.0
2002	35	988.0
2002	36	966.0
2002	37	930.0
2002	38	1036.0
2002	39	1155.0
2002	40	1089.0
2002	41	1149.0
2002	42	1165.0
2002	43	1114.0
2002	44	1086.0
2002	45	1087.0
2002	46	1194.0
2002	47	1129.0
2002	48	1060.0
2002	49	1142.0
2002	50	1187.0
2002	51	1214.0
2002	52	1307.0
2002	53	NaN

2003	1	1274.0
2003	2	1298.0
2003	3	1175.0
2003	4	1215.0
2003	5	1253.0
2003	6	1275.0
2003	7	1216.0
2003	8	1294.0
2003	9	1393.0
2003	10	1461.0
2003	11	1436.0
2003	12	1247.0
2003	13	1232.0
2003	14	1177.0
2003	15	1164.0
2003	16	1101.0
2003	17	1126.0
2003	18	1055.0
2003	19	1093.0
2003	20	951.0
2003	21	970.0
2003	22	1041.0
2003	23	1055.0
2003	24	1050.0
2003	25	959.0
2003	26	984.0
2003	27	1026.0
2003	28	1002.0
2003	29	1053.0
2003	30	1019.0
2003	31	971.0
2003	32	950.0
2003	33	919.0
2003	34	956.0
2003	35	898.0
2003	36	927.0
2003	37	935.0
2003	38	1007.0
2003	39	1030.0
2003	40	987.0
2003	41	1092.0
2003	42	1095.0
2003	43	1077.0
2003	44	1164.0
2003	45	1078.0
2003	46	1097.0
2003	47	1170.0
2003	48	1046.0
2003	49	1034.0
2003	50	1089.0
2003	51	1162.0
2003	52	1174.0
2003	53	NaN

2004	1	1236.0
2004	2	1217.0
2004	3	1242.0
2004	4	1228.0
2004	5	1248.0
2004	6	1358.0
2004	7	1155.0
2004	8	1131.0
2004	9	1150.0
2004	10	1046.0
2004	11	1127.0
2004	12	1094.0
2004	13	1112.0
2004	14	1057.0
2004	15	1072.0
2004	16	1059.0
2004	17	1050.0
2004	18	1010.0
2004	19	1053.0
2004	20	1009.0
2004	21	1105.0
2004	22	985.0
2004	23	1107.0
2004	24	999.0
2004	25	1073.0
2004	26	1018.0
2004	27	1000.0
2004	28	1035.0
2004	29	909.0
2004	30	1071.0
2004	31	998.0
2004	32	1024.0
2004	33	1004.0
2004	34	1031.0
2004	35	982.0
2004	36	949.0
2004	37	952.0
2004	38	1025.0
2004	39	1045.0
2004	40	1048.0
2004	41	1078.0
2004	42	1080.0
2004	43	1022.0
2004	44	1059.0
2004	45	1056.0
2004	46	1070.0
2004	47	1066.0
2004	48	1160.0
2004	49	1077.0
2004	50	1052.0
2004	51	1125.0
