Year	Week	Y_LT5,T,NR,PL
2006	35	47.0
2006	36	41.0
2006	37	55.0
2006	38	56.0
2006	39	49.0
2006	40	49.0
2006	41	49.0
2006	42	47.0
2006	43	55.0
2006	44	47.0
2006	45	48.0
2006	46	47.0
2006	47	48.0
2006	48	41.0
2006	49	43.0
2006	50	34.0
2006	51	50.0
2006	52	34.0
2006	53	NaN

2007	1	54.0
2007	2	61.0
2007	3	49.0
2007	4	62.0
2007	5	57.0
2007	6	54.0
2007	7	46.0
2007	8	47.0
2007	9	43.0
2007	10	44.0
2007	11	53.0
2007	12	44.0
2007	13	56.0
2007	14	57.0
2007	15	45.0
2007	16	52.0
2007	17	62.0
2007	18	50.0
2007	19	52.0
2007	20	52.0
2007	21	60.0
2007	22	67.0
2007	23	32.0
2007	24	49.0
2007	25	59.0
2007	26	56.0
2007	27	54.0
2007	28	48.0
2007	29	65.0
2007	30	60.0
2007	31	47.0
2007	32	58.0
2007	33	47.0
2007	34	39.0
2007	35	42.0
2007	36	42.0
2007	37	54.0
2007	38	49.0
2007	39	40.0
2007	40	50.0
2007	41	47.0
2007	42	55.0
2007	43	55.0
2007	44	38.0
2007	45	60.0
2007	46	51.0
2007	47	48.0
2007	48	59.0
2007	49	51.0
2007	50	53.0
2007	51	59.0
2007	52	54.0
2007	53	NaN

2008	1	56.0
2008	2	59.0
2008	3	72.0
2008	4	60.0
2008	5	53.0
2008	6	64.0
2008	7	50.0
2008	8	59.0
2008	9	50.0
2008	10	59.0
2008	11	48.0
2008	12	65.0
2008	13	50.0
2008	14	50.0
2008	15	47.0
2008	16	42.0
2008	17	60.0
2008	18	52.0
2008	19	50.0
2008	20	65.0
2008	21	34.0
2008	22	57.0
2008	23	72.0
2008	24	52.0
2008	25	42.0
2008	26	51.0
2008	27	50.0
2008	28	51.0
2008	29	63.0
2008	30	54.0
2008	31	50.0
2008	32	31.0
2008	33	54.0
2008	34	49.0
2008	35	50.0
2008	36	50.0
2008	37	48.0
2008	38	56.0
2008	39	44.0
2008	40	51.0
2008	41	57.0
2008	42	49.0
2008	43	50.0
2008	44	52.0
2008	45	59.0
2008	46	52.0
2008	47	44.0
2008	48	45.0
2008	49	44.0
2008	50	40.0
2008	51	50.0
2008	52	50.0
2008	53	NaN

2009	1	46.0
2009	2	59.0
2009	3	64.0
2009	4	50.0
2009	5	48.0
2009	6	53.0
2009	7	50.0
2009	8	51.0
2009	9	40.0
2009	10	49.0
2009	11	56.0
2009	12	58.0
2009	13	57.0
2009	14	54.0
2009	15	53.0
2009	16	57.0
2009	17	49.0
2009	18	40.0
2009	19	42.0
2009	20	59.0
2009	21	58.0
2009	22	44.0
2009	23	71.0
2009	24	70.0
2009	25	47.0
2009	26	69.0
2009	27	46.0
2009	28	53.0
2009	29	43.0
2009	30	48.0
2009	31	44.0
2009	32	46.0
2009	33	40.0
2009	34	54.0
2009	35	54.0
2009	36	43.0
2009	37	47.0
2009	38	52.0
2009	39	47.0
2009	40	46.0
2009	41	46.0
2009	42	50.0
2009	43	47.0
2009	44	59.0
2009	45	47.0
2009	46	41.0
2009	47	48.0
2009	48	61.0
2009	49	44.0
2009	50	49.0
2009	51	50.0
2009	52	45.0
2009	53	42.0

2010	1	48.0
2010	2	44.0
2010	3	39.0
2010	4	47.0
2010	5	42.0
2010	6	51.0
2010	7	55.0
